query,vol,kd,kd_source,priority,score,pillar,role,compliance,ai_overview,serp_verdict,coverage_status,primary_article_slug,sources
blood film test,1000,0,dfs,3,6,,commercial,,,,,,backlog
hb test,1000,15,dfs,3,5,,commercial,,,,,,backlog
anti ccp blood test,1000,1,dfs,3,6,,commercial,,,,,,backlog
what is f b c,1000,7,dfs,3,5,,spoke,,,,,,backlog
haemoglobin levels uk,1000,7,dfs,3,5,D,spoke,,,,,,backlog
hb levels uk,1000,0,dfs,3,5,,spoke,,,,,,backlog
aids test home kit,1000,12,dfs,3,5,,commercial,,,,,,backlog
hiv test home testing kits,1000,22,dfs,3,4,,commercial,,,,,,backlog
home test kits hiv,1000,19,dfs,3,5,,commercial,,,,,,backlog
testosterone supplements uk,1000,2,dfs,3,5,lp-daily-stack,spoke,gate,,,,,csv
can i see my blood test results online nhs,1000,3,dfs,3,6,,commercial,,,,,,discovery
full blood count uk,1000,19,dfs,3,4,D,spoke,,,,,,discovery
brain fog supplements,1000,0,dfs,3,5,,spoke,,,,,,discovery
thyroid antibody lab test,1000,0,dfs,3,6,J,commercial,,,,,,discovery
creatine brain fog,1000,12,dfs,3,4,,spoke,,,,,,discovery
cortisol test uk,880,0,dfs,3,6,future-kit-cortisol,commercial,low,,,,,backlog+csv+backlog
testosterone check,880,5,dfs,3,5,C,spoke,gate,,,,,backlog
testosterone free levels,880,4,dfs,3,5,C,spoke,gate,,,,,backlog
well man tests,880,0,dfs,3,5,,spoke,,,,,,backlog
blood testing private,880,0,dfs,3,6,,commercial,,,,,,backlog
how much protein your body can absorb,880,0,dfs,3,5,,spoke,,,,,,backlog
test for vitamins,880,0,dfs,3,6,,commercial,,,,,,backlog
testosterone at home test,880,0,dfs,3,6,C,commercial,gate,,,,,backlog
testosterone normal levels,880,19,dfs,3,4,C,spoke,gate,,,,,backlog
blood tests northwich,880,0,dfs,3,6,,commercial,,,,,,backlog
herpes test blood,880,5,dfs,3,6,,commercial,,,,,,backlog
gamma gt levels,880,1,dfs,3,5,,spoke,,,,,,backlog
gamma gt blood test meaning,880,6,dfs,3,5,,spoke,,,,,,backlog
what is gamma gt,880,10,dfs,3,5,,spoke,,,,,,backlog
apob test,880,12,dfs,3,5,pillar-I,commercial,low,,,,,backlog+csv
ggt blood test meaning,880,7,dfs,3,5,H,spoke,,,,,,backlog
ggt levels,880,14,dfs,3,4,H,spoke,,,,,,backlog
iron in steak,880,0,dfs,3,5,,spoke,,,,,,backlog
what is ggt,880,8,dfs,3,5,H,spoke,,,,,,backlog
hba1c what is normal range,880,14,dfs,3,4,I,spoke,,,,,,backlog
how to test cortisol levels at home,880,2,dfs,3,5,cortisol,spoke,,,,,,backlog
evorel 50 patches reviews,880,0,dfs,3,5,,spoke,,,,,,backlog
what is mean cell haemoglobin,880,13,dfs,3,4,D,spoke,,,,,,backlog
blood test total protein,880,23,dfs,3,4,,commercial,,,,,,backlog
what is normal hba1c by age nhs,880,1,dfs,3,5,I,spoke,,,,,,backlog
gamma glutamyl transferase levels,880,10,dfs,3,5,,spoke,,,,,,backlog
hiv home tests,880,19,dfs,3,4,,spoke,,,,,,backlog
protein test,880,23,dfs,3,4,,commercial,,,,,,backlog
home aids test,880,10,dfs,3,6,,commercial,,,,,,backlog
mchc meaning in blood test,880,0,dfs,3,5,D,spoke,,,,,,backlog
best supplements for energy,880,9,dfs,3,5,pillar-B,spoke,medium,,,,,csv
what infections cause high crp,880,9,dfs,3,5,pillar-D,spoke,medium,,,published,,csv
fasting glucose test,880,23,dfs,3,4,pillar-I,commercial,low,,,,,csv
why am i always tired and cold,880,19,dfs,3,4,B,spoke,,,,,,discovery
vitamin d test kit,880,0,dfs,3,6,A,commercial,,,,,,discovery
blood test crp cancer,880,0,dfs,3,6,D,commercial,,,,,,discovery
full blood count normal values,880,13,dfs,3,4,D,spoke,,,,,,discovery
normal full blood count levels,880,9,dfs,3,5,D,spoke,,,,,,discovery
full blood count test normal range,880,9,dfs,3,5,D,spoke,,,,,,discovery
full blood count normal ranges,880,12,dfs,3,4,D,spoke,,,,,,discovery
liver function test values,880,21,dfs,3,4,H,commercial,,,,,,discovery
how long blood test results nhs,880,0,dfs,3,5,,spoke,,,,,,discovery
blood test vitamins,720,0,dfs,3,6,,commercial,,,,,,backlog
blood test for fatigue,720,0,dfs,3,6,lp-energy-recovery,commercial,medium,,,,,backlog+csv
health tests,720,6,dfs,3,5,,spoke,,,,,,backlog
medic checks,720,4,dfs,3,5,,spoke,,,,,,backlog
what are normal testosterone levels for a man,720,18,dfs,3,4,C,spoke,gate,,,,,backlog
blood test tired,720,0,dfs,3,6,B,commercial,,,,,,backlog
blood test vitamin deficiency,720,4,dfs,3,6,A,commercial,,,,,,backlog
blood test for tiredness,720,0,dfs,3,6,pillar-B,commercial,medium,,,,,backlog+csv
how to check liver function at home,720,0,dfs,3,5,H,spoke,,,,,,backlog
online blood testing,720,28,dfs,3,4,,commercial,,,,,,backlog
online blood tests,720,22,dfs,3,4,,commercial,,,,,,backlog
pricking fingers,720,0,dfs,3,5,,spoke,,,,,,backlog
testing for autoimmune diseases,720,10,dfs,3,5,,spoke,,,,,,backlog
autoimmunity test,720,8,dfs,3,6,,commercial,,,,,,backlog
cortisol home test,720,0,dfs,3,6,cortisol,commercial,,,,,,backlog
globulin high,720,0,dfs,3,5,,spoke,,,,,,backlog
triva,720,11,dfs,3,4,,spoke,,,,,,backlog
blood test hormone levels,720,0,dfs,3,6,,commercial,,,,,,backlog
treat hormonal imbalance,720,18,dfs,3,4,,spoke,,,,,,backlog
apolipoprotein,720,13,dfs,3,4,,spoke,,,,,,backlog
breakfast high in iron,720,19,dfs,3,4,,spoke,,,,,,backlog
check hormones levels,720,0,dfs,3,5,,spoke,,,,,,backlog
blood tests to check hormone levels,720,0,dfs,3,6,,commercial,,,,,,backlog
how to fix hormonal imbalance,720,18,dfs,3,4,,spoke,,,,,,backlog
test hormone levels,720,14,dfs,3,5,,commercial,,,,,,backlog
snacks high in iron,720,19,dfs,3,4,,spoke,,,,,,backlog
am i perimenopausal quiz,720,4,dfs,3,5,,spoke,,,,,,backlog
progesterone levels,720,18,dfs,3,4,,spoke,,,,,,backlog
test urea,720,0,dfs,3,6,,commercial,,,,,,backlog
foods to help hormone balance,720,3,dfs,3,5,,spoke,,,,,,backlog
bicarbonate blood test,720,0,dfs,3,6,,commercial,,,,,,backlog
homa-ir,720,18,dfs,3,4,,spoke,,,,,,backlog
chloride blood test,720,17,dfs,3,5,,commercial,,,,,,backlog
clotted meaning,720,0,dfs,3,5,,spoke,,,,,,backlog
pcv in blood test,720,0,dfs,3,6,,commercial,,,,,,backlog
what are normal cholesterol levels uk,720,7,dfs,3,5,I,spoke,,,,,,backlog
mdma test kit,720,0,dfs,3,6,,commercial,,,,,,backlog
what are healthy cholesterol levels uk,720,9,dfs,3,5,I,spoke,,,,,,backlog
home test,720,15,dfs,3,5,,commercial,,,,,,backlog
can vitamin d deficiency cause fatigue,720,9,dfs,3,5,pillar-A,spoke,medium,,,planned,,csv
can vitamin d deficiency cause tiredness,720,1,dfs,3,5,pillar-A,spoke,medium,,,planned,,csv
can vitamin d deficiency cause dizziness,720,0,dfs,3,5,pillar-A,spoke,medium,,,planned,,csv
dht hair loss,720,10,dfs,3,5,pillar-C,spoke,medium,,,,,csv
blood test results explained,720,19,dfs,3,5,pillar-D,commercial,low,,,,,csv
how to read blood test results,720,3,dfs,3,5,pillar-D,spoke,low,,,,,csv
bupa blood test,720,4,dfs,3,6,programmatic-compare,commercial,medium,,,,,csv
fasting insulin test,720,0,dfs,3,6,pillar-I,commercial,low,,,,,csv
blood test results chart,720,10,dfs,3,6,,commercial,,,,,,discovery
does full blood count test show cancer,720,21,dfs,3,4,D,commercial,,,,,,discovery
full blood count fbc,720,9,dfs,3,5,D,spoke,,,,,,discovery
can low testosterone cause hair loss,720,1,dfs,3,5,C,spoke,gate,,,,,discovery
does low testosterone cause hair loss,720,1,dfs,3,5,C,spoke,gate,,,,,discovery
will low testosterone cause hair loss,720,0,dfs,3,5,C,spoke,gate,,,,,discovery
nhs liver function test,720,12,dfs,3,5,H,commercial,,,,,,discovery
liver function blood test normal range uk,720,12,dfs,3,4,H,spoke,,,,,,discovery
how to clear brain fog instantly,720,19,dfs,3,4,,spoke,,,,,,discovery
blood test nhs walk-in centre,720,6,dfs,3,6,,commercial,,,,,,discovery
thyroid lab test results,720,26,dfs,3,4,J,commercial,,,,,,discovery
urea and electrolytes blood test results explained,720,0,dfs,3,6,,commercial,,,,,,discovery
how can i read my blood test results,720,9,dfs,3,6,,commercial,,,,,,discovery
how to interpret blood test results,720,3,dfs,3,5,,spoke,,,,,,discovery
how long do blood test results take in a&e uk,720,0,dfs,3,5,,spoke,,,,,,discovery
blood test results and meaning,720,19,dfs,3,4,,spoke,,,,,,discovery
blood test results explanation,720,12,dfs,3,5,,commercial,,,,,,discovery
explaining blood test results,720,19,dfs,3,5,,commercial,,,,,,discovery
how to understand blood test results,720,3,dfs,3,5,,spoke,,,,,,discovery
blood testing for alcohol,590,1,dfs,3,6,,commercial,,,,,,backlog
blood lead level test,590,2,dfs,3,6,,commercial,,,,,,backlog
blood testing for lead,590,0,dfs,3,6,,commercial,,,,,,backlog
blood testing service,590,22,dfs,3,4,,commercial,,,,,,backlog
do guys have hormones,590,15,dfs,3,4,,spoke,,,,,,backlog
fountain of youth collagen,590,0,dfs,3,5,,spoke,,,,,,backlog
free test testosterone,590,6,dfs,3,6,C,commercial,gate,,,,,backlog
home test for liver enzymes,590,1,dfs,3,6,H,commercial,,,,,,backlog
hormone tests for males,590,0,dfs,3,5,,spoke,,,,,,backlog
iron with ferritin,590,20,dfs,3,4,D,spoke,,,,,,backlog
optimale blood test,590,0,dfs,3,6,,commercial,,,,,,backlog
triglyceride and hdl ratio,590,4,dfs,3,5,I,spoke,,,,,,backlog
what does amrap mean,590,0,dfs,3,5,,spoke,,,,,,backlog
blood health test,590,5,dfs,3,6,,commercial,,,,,,backlog
do men have hormones,590,11,dfs,3,4,,spoke,,,,,,backlog
full vitamin and mineral blood test uk,590,0,dfs,3,6,,commercial,,,,,,backlog
home liver function test,590,0,dfs,3,6,H,commercial,,,,,,backlog
home liver test,590,0,dfs,3,6,H,commercial,,,,,,backlog
macros vs micros,590,6,dfs,3,5,,spoke,,,,,,backlog
private blood test uk,590,0,dfs,3,6,programmatic-cities,commercial,low,,,,,backlog+csv
vitamin b12 test at home,590,0,dfs,3,6,D/B12,commercial,,,,,,backlog
best magnesium tablet,590,0,dfs,3,5,,spoke,,,,,,backlog
blood tests health check,590,23,dfs,3,4,,commercial,,,,,,backlog
homocysteine blood test,590,4,dfs,3,6,,commercial,,,,,,backlog
do baked beans contain iron,590,9,dfs,3,5,,spoke,,,,,,backlog
d2 vs d3 vitamin,590,10,dfs,3,5,,spoke,,,,,,backlog
do baked beans have iron,590,3,dfs,3,5,,spoke,,,,,,backlog
thriver,590,19,dfs,3,4,,spoke,,,,,,backlog
how much iron in beef steak,590,6,dfs,3,5,,spoke,,,,,,backlog
uric acid high reasons,590,4,dfs,3,5,,spoke,,,,,,backlog
low bilirubin,590,8,dfs,3,5,H,spoke,,,,,,backlog
how to check your cholesterol at home,590,12,dfs,3,4,I,spoke,,,,,,backlog
plasma gamma gt level,590,6,dfs,3,5,,spoke,,,,,,backlog
how to lower ferritin levels,590,4,dfs,3,5,D,spoke,,,,,,backlog
mchc reference range,590,1,dfs,3,5,D,spoke,,,,,,backlog
mean cell hemoglobin concentration normal range,590,7,dfs,3,5,,spoke,,,,,,backlog
normal mchc value,590,0,dfs,3,5,D,spoke,,,,,,backlog
how to decrease ferritin levels,590,0,dfs,3,5,D,spoke,,,,,,backlog
how to reduce ferritin levels,590,8,dfs,3,5,D,spoke,,,,,,backlog
mean corpuscular hemoglobin concentration normal range,590,1,dfs,3,5,,spoke,,,,,,backlog
normal total protein levels,590,0,dfs,3,5,,spoke,,,,,,backlog
mean corpuscular haemoglobin low,590,0,dfs,3,5,D,spoke,,,,,,backlog
mchc normal range,590,0,dfs,3,5,D,spoke,,,,,,backlog
period cycle graph,590,18,dfs,3,4,,spoke,,,,,,backlog
does running increase testosterone,590,7,dfs,3,5,C,spoke,gate,,,,,backlog
hypo versus hyperthyroidism,590,13,dfs,3,4,J,spoke,,,,,,backlog
serum iron,590,11,dfs,3,4,,spoke,,,,,,backlog
total protein,590,12,dfs,3,4,,spoke,,,,,,backlog
test for hepatitis,590,10,dfs,3,6,,commercial,,,,,,backlog
body mots,590,0,dfs,3,5,,spoke,,,,,,backlog
at home test diabetes,590,4,dfs,3,6,,commercial,,,,,,backlog
can vitamin d deficiency cause weight gain,590,7,dfs,3,5,pillar-A,spoke,medium,,,planned,,csv
hair loss vitamin deficiency,590,4,dfs,3,5,programmatic-symptoms,spoke,medium,,,,,csv
manual reviews,590,0,dfs,3,5,programmatic-compare,spoke,medium,,,,,csv
forth blood test,590,1,dfs,3,6,programmatic-compare,commercial,medium,,,,,csv
infection markers in blood normal range,590,13,dfs,3,4,pillar-G,spoke,medium,,,published,pillar-G-hub-inflammatory-markers-blood-test,csv
full blood count borderline,590,0,dfs,3,5,D,spoke,,,,,,discovery
hba1c how to lower,590,0,dfs,3,5,I,spoke,,,,,,discovery
mens health check,590,0,dfs,3,6,,commercial,,,,,,discovery
blood test time for results,480,0,dfs,3,5,,commercial,,,,,,backlog
saliva cortisol test,480,1,dfs,3,5,future-kit-cortisol,commercial,low,,,,,csv
inflammatory markers list,480,0,dfs,3,4,pillar-G,spoke,medium,,,published,pillar-G-hub-inflammatory-markers-blood-test,csv
how to get testosterone test,480,0,dfs,3,4,C,spoke,gate,,,,,discovery
nhs app blood test results,480,11,dfs,3,4,,commercial,,,,,,discovery
full blood count private,480,7,dfs,3,5,D,commercial,,,,,,discovery
brain fog test,480,0,dfs,3,5,,commercial,,,,,,discovery
full blood test private,480,7,dfs,3,5,,commercial,,,,,,discovery
blood test private cost,480,0,dfs,3,5,,commercial,,,,,,discovery
testosterone levels by age,390,1,dfs,3,4,pillar-C,spoke,gate,,,published,pillar-C-spoke-myth-of-normal-range,csv
at home blood test uk,390,0,dfs,3,5,lp-hormone-recovery,commercial,low,,,,,csv
best supplements for inflammation,390,10,dfs,3,4,pillar-G,spoke,medium,,,excluded,,csv
how to reduce crp level,390,0,dfs,3,4,pillar-G,spoke,gate,,,,,csv
testosterone levels by age chart,390,2,dfs,3,4,pillar-C,spoke,gate,,,published,pillar-C-spoke-myth-of-normal-range,csv
home test vitamin d,390,0,dfs,3,5,A,commercial,,,,,,discovery
testosterone test in men,390,4,dfs,3,5,C,commercial,gate,,,,,discovery
manual testosterone test,390,4,dfs,3,5,C,commercial,gate,,,,,discovery
will low testosterone cause weight gain,390,0,dfs,3,4,C,spoke,gate,,,,,discovery
blood test thyroid peroxidase,390,7,dfs,3,5,J,commercial,,,,,,discovery
hba1c measurement units,390,1,dfs,3,4,I,spoke,,,,,,discovery
hba1c conversion calculator,390,9,dfs,3,4,I,spoke,,,,,,discovery
hba1c mmol/mol to percentage formula,390,0,dfs,3,4,I,spoke,,,,,,discovery
best supplements for men over 40,320,3,dfs,3,4,pillar-D,spoke,medium,,,,,csv
best vitamins for men uk,320,4,dfs,3,4,lp-daily-stack,spoke,medium,,,,,csv
normal testosterone levels in males nmol/l,320,2,dfs,3,4,pillar-C,spoke,gate,,,published,pillar-C-spoke-myth-of-normal-range,csv
what are inflammatory markers in blood tests,320,8,dfs,3,4,pillar-G,spoke,medium,,,published,pillar-G-hub-inflammatory-markers-blood-test,csv
always hungry tired,320,10,dfs,3,4,B,spoke,,,,,,discovery
boots vitamin d test,320,0,dfs,3,5,A,commercial,,,,,,discovery
vitamin d deficiency test,320,0,dfs,3,5,A,commercial,,,,,,discovery
crp esr blood test,320,7,dfs,3,5,D,commercial,,,,,,discovery
full blood count 424,320,7,dfs,3,4,D,spoke,,,,,,discovery
full blood count nhs,320,0,dfs,3,4,D,spoke,,,,,,discovery
thyroid home test kit,320,0,dfs,3,5,J,commercial,,,,,,discovery
diagnose diabetes with hba1c,320,0,dfs,3,4,I,spoke,,,,,,discovery
how to reduce hba1c in a week,320,0,dfs,3,4,I,spoke,,,,,,discovery
vitamin d test uk,260,0,dfs,3,5,pillar-A,commercial,medium,,,,,csv
best supplements for recovery,260,2,dfs,3,4,pillar-G,spoke,medium,,,,,csv
shbg test,260,7,dfs,3,5,pillar-C,commercial,gate,,,,,csv
private cholesterol test,260,0,dfs,3,5,pillar-I,commercial,low,,,,,csv
homocysteine test uk,260,0,dfs,3,5,pillar-I,commercial,low,,,,,csv
triglycerides test,260,14,dfs,3,4,pillar-I,commercial,low,,,,,csv
cholesterol test uk,260,12,dfs,3,4,pillar-I,commercial,low,,,,,csv
adrenal blood test,260,9,dfs,3,5,future-kit-cortisol,commercial,low,,,,,csv
vitamin d level test,260,4,dfs,3,5,A,commercial,,,,,,discovery
25-hydroxy vitamin d test,260,8,dfs,3,5,A,commercial,,,,,,discovery
25-oh vitamin d test,260,6,dfs,3,5,A,commercial,,,,,,discovery
lab test vitamin d 25 hydroxy,260,8,dfs,3,5,A,commercial,,,,,,discovery
crp blood test levels,260,13,dfs,3,4,D,commercial,,,,,,discovery
testosterone level on blood test,260,1,dfs,3,5,C,commercial,gate,,,,,discovery
lab test testosterone levels,260,5,dfs,3,5,C,commercial,gate,,,,,discovery
testosterone home test kit,260,0,dfs,3,5,C,commercial,gate,,,,,discovery
testosterone online test,260,0,dfs,3,5,C,commercial,gate,,,,,discovery
translate my blood test results uk,260,0,dfs,3,5,,commercial,,,,,,discovery
full blood count cost,260,0,dfs,3,4,D,spoke,,,,,,discovery
thyroid blood test normal levels,260,17,dfs,3,4,J,commercial,,,,,,discovery
target hba1c type 2 diabetes,260,0,dfs,3,4,I,spoke,,,,,,discovery
hba1c home testing kits,260,0,dfs,3,4,I,spoke,,,,,,discovery
t4 test,210,13,dfs,3,4,pillar-J,commercial,low,,,,,csv
high inflammatory markers and fatigue,210,3,dfs,3,4,pillar-G,spoke,medium,,,published,pillar-G-hub-inflammatory-markers-blood-test,csv
free vitamin d test uk,210,8,dfs,3,5,A,commercial,,,,,,discovery
hs crp blood test,210,7,dfs,3,5,D,commercial,,,,,,discovery
how test testosterone levels at home,210,0,dfs,3,5,C,commercial,gate,,,,,discovery
full blood count borderline meaning,210,0,dfs,3,4,D,spoke,,,,,,discovery
can a full blood count detect ovarian cancer,210,6,dfs,3,4,D,spoke,,,,,,discovery
cholesterol test price,210,0,dfs,3,5,I,commercial,,,,,,discovery
hba1c blood bottle colour,210,0,dfs,3,4,I,spoke,,,,,,discovery
mens health check uk,210,0,dfs,3,5,,commercial,,,,,,discovery
free nhs health check scotland,210,3,dfs,3,5,,commercial,,,,,,discovery
andropause treatment,170,10,dfs,3,4,pillar-E,spoke,gate,,,,,csv
private liver test,170,0,dfs,3,5,pillar-H,commercial,low,,,,,csv
low testosterone hair loss,140,4,dfs,3,4,pillar-C,spoke,gate,,,,,csv
ferritin test uk,140,0,dfs,3,5,pillar-D,commercial,low,,,,,csv
balance my hormones reviews,140,0,dfs,3,4,programmatic-compare,spoke,medium,,,,,csv
biological age test uk,140,1,dfs,3,5,future-kit-longevity,commercial,low,,,,,csv
blood test for depression,90,19,dfs,3,4,programmatic-symptoms,commercial,very-high,,,,,csv
reverse t3 test,90,0,dfs,3,5,pillar-J,commercial,low,,,,,csv
normal testosterone levels nmol/l,70,0,dfs,3,4,pillar-C,spoke,gate,,,published,pillar-C-spoke-myth-of-normal-range,csv
personal trainer cpd,50,1,dfs,3,4,trade,spoke,medium,,,,,csv
voy uk reviews,40,2,dfs,3,4,programmatic-compare,spoke,medium,,,,,csv
nutrition for personal trainers,30,0,dfs,3,4,trade,spoke,medium,,,,,csv
best testosterone test uk,0,0,dfs,3,5,pillar-C,commercial,gate,,,,,csv
nhs blood test,0,8,dfs,3,5,pillar-D,commercial,low,,,,,csv
men's health blood test,0,0,dfs,3,5,pillar-D,commercial,low,,,,,csv
private blood test london,0,14,dfs,3,4,programmatic-cities,commercial,low,,,,,csv
private blood test manchester,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test birmingham,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test leeds,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test glasgow,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test edinburgh,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test bristol,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test liverpool,0,5,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test nottingham,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
private blood test cambridge,0,0,dfs,3,5,programmatic-cities,commercial,low,,,,,csv
male hormone test uk,0,0,dfs,3,5,pillar-E,commercial,gate,,,,,csv
blood test for anxiety,0,3,dfs,3,5,programmatic-symptoms,commercial,gate,,,,,csv
blood test for insomnia,0,16,dfs,3,4,programmatic-symptoms,commercial,medium,,,,,csv
hba1c test uk,0,12,dfs,3,4,pillar-I,commercial,low,,,,,csv
private hba1c test,0,0,dfs,3,5,pillar-I,commercial,low,,,,,csv
insulin test uk,0,0,dfs,3,5,pillar-I,commercial,low,,,,,csv
private thyroid test,0,0,dfs,3,5,pillar-J,commercial,low,,,,,csv
full thyroid panel,0,4,dfs,3,4,pillar-J,spoke,low,,,,,csv
thyroid blood test uk,0,10,dfs,3,5,pillar-J,commercial,low,,,,,csv
private psa test,0,6,dfs,3,5,future-kit-prostate,commercial,very-high,,,,,csv
liver function test uk,0,1,dfs,3,5,pillar-H,commercial,low,,,,,csv
blood test,49500,10,dfs,4,10,pillar-D,commercial,low,Y,NHS-NAV,,,csv
blood work test,49500,33,dfs,4,6,,commercial,,,NHS-NAV,,,backlog
inflammation,18100,68,dfs,4,3,pillar-G,spoke,medium,,,planned,,csv
visceral fat,18100,55,dfs,4,3,kit-3-plus-hook,spoke,low,,,unassigned,,csv
why an i always tired,14800,53,dfs,4,3,B,spoke,,,,,,discovery
nhs health check,12100,1,dfs,4,4,,commercial,,Y,NHS-NAV,,,discovery
male with low testosterone symptoms,12100,59,dfs,4,3,C,spoke,gate,,,,,discovery
signs low testosterone man,12100,60,dfs,4,3,C,spoke,gate,,,,,discovery
what is cholesterol,9900,58,dfs,4,3,I,spoke,,,,,,backlog
high cortisol level,8100,55,dfs,4,3,cortisol,spoke,,,,,,backlog
triglyceride levels,6600,33,dfs,4,3,I,spoke,,,,,,backlog
cholesterol levels by age chart,6600,33,dfs,4,3,I,spoke,,,,,,backlog
exhausted fatigue symptoms,6600,,dfs,4,3,pillar-B,spoke,medium,Y,MIXED,,,csv
