keyword,keyword_type,cluster,primary_kit,also_relevant_kits,biomarker_rationale,routing_note,search_volume,difficulty,intent
kidney function test,navigational,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test; Male Total Health Check Test,"Creatinine, urea, eGFR",Full Kidney Function Test adds electrolytes,,47,informational
are my kidneys ok,condition,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,"Creatinine, eGFR, urea",,,,
chronic kidney disease,condition,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,"Creatinine, eGFR, urea + electrolytes",CKD largely silent,18100,69,informational
eGFR meaning,biomarker,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,eGFR filtration measure,Result-interpretation query,1900,19,informational
high creatinine,biomarker,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,Creatinine,Gym/creatine users often search this,,43,informational
foamy urine swollen ankles,symptom,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,Kidney filtration markers + electrolytes,,,,
electrolyte imbalance,condition,cardiometabolic,Kidney Function Test,Kidney Function Essentials Test,"Sodium, potassium, chloride",,4400,42,informational
muscle cramps and twitching,symptom,cardiometabolic,Kidney Function Test,Vitamins & Minerals Complete Test,Electrolytes; or magnesium/calcium,Magnesium adjacency,70,48,informational
protein powder kidney check,situation,cardiometabolic,Kidney Function Essentials Test,Kidney Function Test,"Creatinine, eGFR, urea",,,,
Mounjaro blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, hs-CRP, LFTs, kidney; Advanced adds HbA1c/FBC/thyroid/iron",GLP-1 is the natural hub product,50,,informational
Wegovy blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, LFTs, kidney, hs-CRP",,,,
Ozempic blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Lipids, LFTs, kidney, hs-CRP",,,,
blood test before Mounjaro,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,"Baseline lipids, LFTs, kidney, HbA1c",,,,
weight loss injection blood test,situation,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,GLP-1 monitoring panel,,,,
skinny jab blood test,slang,cardiometabolic,GLP-1 Essential Wellness Test,GLP-1 Advanced Nurse Health Check Test,GLP-1 monitoring panel,,,,
tirzepatide monitoring,situation,cardiometabolic,GLP-1 Advanced Nurse Health Check Test,GLP-1 Essential Wellness Test,"Broad monitoring: lipids, HbA1c, LFTs, kidney, FBC, thyroid, iron",,10,,informational
on Mounjaro 3 months blood test,situation,cardiometabolic,GLP-1 Advanced Nurse Health Check Test,GLP-1 Essential Wellness Test,Periodic monitoring panel,,,,
full blood count test,navigational,blood-nutrition-bone,Full Blood Count Test,Baseline Health Test; Immune Health Test,"FBC: RBC, Hb, WBC differential, platelets, indices",,,46,informational
complete blood count,navigational,blood-nutrition-bone,Full Blood Count Test,Baseline Health Test,FBC,,,50,informational
am I anaemic,condition,blood-nutrition-bone,Anaemia Test,Full Blood Count Test; Iron Status Test,FBC + iron studies + B12 + folate,Comprehensive anaemia workup,,,
anaemia test,condition,blood-nutrition-bone,Anaemia Test,Full Blood Count Test,"FBC, ferritin, iron, B12, folate",,,43,informational
iron deficiency,condition,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,"Ferritin low, transferrin saturation low, TIBC high",,,55,informational
low iron symptoms,symptom,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin, serum iron, transferrin saturation",,,56,informational
ferritin test,biomarker,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,Ferritin (iron stores),"Map by direction: low=deficiency, high=overload",2900,7,informational
low ferritin,biomarker,blood-nutrition-bone,Iron Status Test,Anaemia Test,Ferritin low,,4400,32,informational
why am I always tired,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Vitamins & Minerals Complete Test; Thyroid Function Test; Male Ultimate Hormones Check Test,"Iron, B12, folate, vitamin D, thyroid, testosterone",Fatigue umbrella - spans clusters,14800,21,informational
tired all the time no energy,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Vitamins & Minerals Complete Test,"FBC, iron, B12, folate, vitamin D",TATT workup,1300,64,informational
breathless walking upstairs,symptom,blood-nutrition-bone,Anaemia Test,Iron Status Test; Full Blood Count Test,Low haemoglobin,,,,
restless legs at night,symptom,blood-nutrition-bone,Iron Status Test,Anaemia Test,Low ferritin associated with restless legs,,5400,30,informational
vegan iron deficiency,situation,blood-nutrition-bone,Iron Status Test,Anaemia Test; Vitamins & Minerals Complete Test,"Ferritin, iron studies; plus B12",,,35,informational
athlete low ferritin,situation,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin, transferrin saturation",,,,
B12 deficiency,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test; Nutritional Assessment Test,"Active B12, folate; macrocytic FBC",,60500,44,informational
low B12 symptoms,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test,Active B12,,9900,36,informational
tingling hands and feet,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test; Diabetes (HbA1c) Test,B12 deficiency; or diabetic neuropathy,Dual cause - B12 or diabetes,,47,informational
vegan B12 test,situation,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,"Active B12, folate",,10,,informational
folate deficiency,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Anaemia Test,Serum/red cell folate,,,53,informational
iron overload haemochromatosis,condition,blood-nutrition-bone,Iron Status Test,Anaemia Test,"Ferritin high, transferrin saturation high",Map by direction - high iron,,,
high ferritin,biomarker,blood-nutrition-bone,Iron Status Test,Liver Function Test,Ferritin high (iron overload or inflammation),Signpost HFE genetics if very high,2900,7,informational
low vitamin D,condition,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,Vitamin D (25-OH),,5400,31,informational
vitamin D test,biomarker,blood-nutrition-bone,Vitamins & Minerals Complete Test,Nutritional Assessment Test,Vitamin D (25-OH),Cheap high-intent entry point,2400,8,informational
vitamin D deficiency symptoms,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Nutritional Assessment Test,Vitamin D,,,23,informational
aching bones and tired,symptom,blood-nutrition-bone,Vitamins & Minerals Complete Test,Bone Health (Osteoporosis) Test,Vitamin D; bone panel,,,,
vitamin and mineral test,navigational,blood-nutrition-bone,Vitamins & Minerals Complete Test,Vitamin & Minerals Test; Nutritional Assessment Test,"Vit D, B12, folate, ferritin, calcium, magnesium",,210,,informational
nutrient deficiency test,condition,blood-nutrition-bone,Nutritional Assessment Test,Vitamins & Minerals Complete Test,"Calcium, magnesium, vit D, B12, folate, ferritin",,140,,informational
magnesium deficiency,biomarker,blood-nutrition-bone,Vitamins & Minerals Complete Test,Nutritional Assessment Test,Magnesium,,6600,35,informational
immune system blood test,navigational,blood-nutrition-bone,Immune Health Test,Full Blood Count Test,FBC + blood film; WBC differential,,320,26,informational
keep getting ill,symptom,blood-nutrition-bone,Immune Health Test,Full Blood Count Test; Vitamins & Minerals Complete Test,WBC differential; vitamin D adjacency,,,,
white blood cell count,biomarker,blood-nutrition-bone,Full Blood Count Test,Immune Health Test,WBC and differential,,,45,informational
omega 3 test,biomarker,blood-nutrition-bone,Omega 3 & 6 Test,,"Omega-3, omega-6, ratio",,210,,informational
omega 6 to omega 3 ratio,biomarker,blood-nutrition-bone,Omega 3 & 6 Test,,Omega-6:omega-3 ratio,,50,40,informational
do I need fish oil,situation,blood-nutrition-bone,Omega 3 & 6 Test,,Omega-3 index,,10,,informational
osteoporosis men,condition,blood-nutrition-bone,Bone Health (Osteoporosis) Test,Bone Health Advanced (DPD) Test,"Calcium, ALP, vitamin D, albumin",,40,51,informational
bone health test,navigational,blood-nutrition-bone,Bone Health (Osteoporosis) Test,Bone Health Advanced (DPD) Test; DPD Bone Resorption Test,"Calcium, ALP, vit D",,90,30,informational
male osteoporosis test,condition,blood-nutrition-bone,Bone Health (Osteoporosis) Test,Bone Health Advanced (DPD) Test,"Calcium, ALP, vitamin D",Men lack 'post-menopausal' trigger - use these terms,,,
bone resorption test,biomarker,blood-nutrition-bone,DPD Bone Resorption Test,Bone Health Advanced (DPD) Test,"DPD (deoxypyridinoline), DPD/creatinine ratio",,10,,informational
DPD test bone,biomarker,blood-nutrition-bone,DPD Bone Resorption Test,Bone Health Advanced (DPD) Test,Deoxypyridinoline,,,,
loss of height back pain,symptom,blood-nutrition-bone,Bone Health (Osteoporosis) Test,Bone Health Advanced (DPD) Test,Bone density markers,,,,
steroid use bone loss,situation,blood-nutrition-bone,Bone Health (Osteoporosis) Test,Bone Health Advanced (DPD) Test,"Calcium, ALP, vit D",,,,
rheumatoid arthritis test,condition,blood-nutrition-bone,Arthritis (CCP) Test,,"Anti-CCP, rheumatoid factor, hs-CRP",,1600,29,informational
anti-CCP test,biomarker,blood-nutrition-bone,Arthritis (CCP) Test,,Anti-cyclic citrullinated peptide antibody,,,,
joint pain hands,symptom,blood-nutrition-bone,Arthritis (CCP) Test,Inflammation (CRP) Test,"Anti-CCP, RF, hs-CRP",,,21,informational
morning stiffness hands,symptom,blood-nutrition-bone,Arthritis (CCP) Test,,Inflammatory arthritis markers,Stiffness >30 min = inflammatory signal,,12,informational
swollen painful joints,symptom,blood-nutrition-bone,Arthritis (CCP) Test,Inflammation (CRP) Test,"Anti-CCP, RF, hs-CRP",,,,
allergy test,navigational,blood-nutrition-bone,Total Allergy Profile Test,,Total IgE + 300+ allergen specific IgE (ALEX3),,22200,10,informational
food allergy test,condition,blood-nutrition-bone,Total Allergy Profile Test,,Specific IgE to food allergens,IgE = allergy not IgG 'intolerance' - compliance flag,6600,23,informational
what am I allergic to,symptom,blood-nutrition-bone,Total Allergy Profile Test,,Multiplex specific IgE array,,260,48,informational
hay fever pollen allergy test,condition,blood-nutrition-bone,Total Allergy Profile Test,,Specific IgE to pollens,,,,
hives unexplained reactions,symptom,blood-nutrition-bone,Total Allergy Profile Test,,Total + specific IgE,,,,
food intolerance test,condition,blood-nutrition-bone,Total Allergy Profile Test,,IgE-based allergy/sensitisation panel,COMPLIANCE: do not claim IgE diagnoses intolerance,14800,16,informational
gut health test,navigational,blood-nutrition-bone,Gut Microbiome Test,,"Shotgun metagenomic sequencing - diversity, dysbiosis",,1900,,informational
microbiome test,condition,blood-nutrition-bone,Gut Microbiome Test,,Shotgun sequencing of gut bacteria/species,,1300,,informational
bloating after eating,symptom,blood-nutrition-bone,Gut Microbiome Test,,Microbiome composition/dysbiosis,,4400,42,informational
IBS symptoms test,symptom,blood-nutrition-bone,Gut Microbiome Test,,Gut microbiome analysis,Symptom-driven; signpost GP for red flags,,51,informational
gut health after antibiotics,situation,blood-nutrition-bone,Gut Microbiome Test,,Microbiome diversity,,50,26,informational
STI test,navigational,sti,Male STI Test,Male Extra Safe STI Test; Chlamydia & Gonorrhoea Test,"Chlamydia, gonorrhoea, HIV, syphilis",Route to hub/quiz; MSM to Gay Male tier,,31,informational
STD test at home,navigational,sti,Male STI Test,Male Extra Safe STI Test,"4-in-1: chlamydia, gonorrhoea, HIV, syphilis",,,30,informational
full STI screen,navigational,sti,Male Extra Safe STI Test,Gay Male Extra Safe STI Test; Male STI Test,Basic panel + hepatitis B/C,,260,29,informational
test after unprotected sex,situation,sti,Male STI Test,Male Extra Safe STI Test; HIV Test,Full screen; note window periods,Window: test from 4 weeks; HIV p24 earlier,,,
new partner STI test,situation,sti,Male STI Test,Male Extra Safe STI Test,Full screen,,,,
partner tested positive,situation,sti,Male STI Test,Chlamydia & Gonorrhoea Test; Male Extra Safe STI Test,Targeted to the named infection where known,,,,
chlamydia test,condition,sti,Chlamydia & Gonorrhoea Test,"Male STI Test; Chlamydia, Gonorrhoea & Trichomoniasis Test",Chlamydia (genital; urine for men),,,35,informational
the clap test,slang,sti,Chlamydia & Gonorrhoea Test,Male STI Test,Gonorrhoea (and chlamydia - discharge overlaps),,10,85,informational
gonorrhoea test,condition,sti,Chlamydia & Gonorrhoea Test,Male STI Test,Gonorrhoea,,1000,9,informational
burning when I pee,symptom,sti,Chlamydia & Gonorrhoea Test,"Chlamydia, Gonorrhoea & Trichomoniasis Test; Male STI Test","Dysuria - ambiguous, route to dual C+G",Highest-volume symptom - always dual C+G,2900,22,informational
discharge from penis,symptom,sti,Chlamydia & Gonorrhoea Test,"Chlamydia, Gonorrhoea & Trichomoniasis Test",Chlamydia/gonorrhoea; thin = trichomoniasis,Green/yellow=gonorrhoea; clear=chlamydia,,,
green discharge,symptom,sti,Chlamydia & Gonorrhoea Test,Male STI Test,Gonorrhoea (classic presentation),,8100,21,transactional
tested negative but still symptoms,symptom,sti,"Chlamydia, Gonorrhoea & Trichomoniasis Test",Male Extra Safe STI Test,Trichomoniasis; Mycoplasma genitalium; Ureaplasma,Mgen/Ureaplasma only on complete panels,,,
trichomoniasis test,condition,sti,"Chlamydia, Gonorrhoea & Trichomoniasis Test",,Trichomonas vaginalis,,2400,11,informational
NSU urethritis test,condition,sti,"Chlamydia, Gonorrhoea & Trichomoniasis Test",Male Extra Safe STI Test,Trichomoniasis; complete panels add Mgen/Ureaplasma,,,,
HIV test at home,condition,sti,HIV Test,Male STI Test; Male Extra Safe STI Test,HIV 1&2 antibody + p24 antigen (4th gen),,,29,informational
HIV test after exposure,situation,sti,HIV Test,Male Extra Safe STI Test,p24 antigen narrows window to 1-4 weeks,p24 = earliest detection,,56,informational
flu symptoms after unprotected sex,symptom,sti,HIV Test,Male STI Test,Seroconversion illness - HIV,,,,
PrEP test,situation,sti,Male Extra Safe STI Test,HIV Test; Gay Male Extra Safe STI Test,HIV + renal/hepatitis baseline context,MSM screening context,260,30,informational
syphilis test,condition,sti,Syphilis Test,Male STI Test,Syphilis IgG/IgM,,1600,7,informational
painless sore on penis,symptom,sti,Syphilis Test,Male STI Test,Painless chancre = primary syphilis,Painless=syphilis; painful=herpes,,,
rash on palms and soles,symptom,sti,Syphilis Test,Male STI Test,Secondary syphilis rash,,,12,informational
hepatitis B test,condition,sti,Hepatitis B & C Test,Male Extra Safe STI Test,"HBsAg, surface/core antibodies",,880,14,informational
hepatitis C test,condition,sti,Hepatitis B & C Test,Male Extra Safe STI Test,Anti-HCV antibody,,880,18,informational
hep B and C home test,navigational,sti,Hepatitis B & C Test,Male Extra Safe STI Test,HBV panel + HCV antibody,,,,
extra safe STI test,navigational,sti,Male Extra Safe STI Test,Gay Male Extra Safe STI Test,Basic panel + hepatitis B/C,,,,
STI test including hepatitis,navigational,sti,Male Extra Safe STI Test,Gay Male Extra Safe STI Test,4-panel + hep B/C,,,,
MSM STI screen,situation,sti,Gay Male STI Test,Gay Male Extra Safe STI Test,Adds oral + rectal chlamydia/gonorrhoea,,,,
gay mens STI test kit,navigational,sti,Gay Male STI Test,Gay Male Extra Safe STI Test,Multi-site swabs + blood-borne,,,,
throat and rectal STI test,navigational,sti,Gay Male STI Test,Gay Male Extra Safe STI Test,Oral + rectal chlamydia/gonorrhoea,,,,
sore throat after oral sex,symptom,sti,Gay Male STI Test,Chlamydia & Gonorrhoea Test,Pharyngeal chlamydia/gonorrhoea,,,,
rectal discharge pain,symptom,sti,Gay Male STI Test,Gay Male Extra Safe STI Test,Rectal chlamydia/gonorrhoea,,,,
chemsex STI test,situation,sti,Gay Male Extra Safe STI Test,Gay Male STI Test,Multi-site + hepatitis B/C + HIV,,,,
comprehensive gay STI test,navigational,sti,Gay Male Extra Safe STI Test,Gay Male STI Test,Multi-site + hepatitis + HIV + syphilis,,,,
mens health blood test,navigational,total-health,Male Total Health Check Test,Male Ultimate Hormones Check Test; Lucio Metabolic Essentials Test,"Lipids, LFTs, kidney, CRP, testosterone, cortisol",,,,
male MOT blood test,slang,total-health,Male Total Health Check Test,Male Ultimate Hormones Check Test,Full cross-system panel,,,,
full health check men,navigational,total-health,Male Total Health Check Test,Lucio Metabolic Essentials Test,"Liver, kidney, heart, hormones, stress, inflammation",,,,
general health blood test,navigational,total-health,Male Total Health Check Test,Baseline Health Test; Lucio Metabolic Essentials Test,Broad organ + metabolic + hormone panel,,210,6,informational
prostate cancer risk,condition,cancer,Prostate Cancer Risk Test,Male Multi Cancer Risk Test,Prostate polygenic risk score (inherited DNA risk),"PRS = inherited risk, NOT PSA, NOT diagnosis",320,46,informational
prostate cancer genetic test,condition,cancer,Prostate Cancer Risk Test,Male Multi Cancer Risk Test,Prostate PRS from saliva,,170,,informational
am I at risk of prostate cancer,situation,cancer,Prostate Cancer Risk Test,Male Multi Cancer Risk Test,Prostate PRS,,,,
family history prostate cancer,situation,cancer,Prostate Cancer Risk Test,Male Multi Cancer Risk Test,Prostate PRS,,70,,informational
prostate cancer black men risk,situation,cancer,Prostate Cancer Risk Test,Male Multi Cancer Risk Test,Prostate PRS (Black men ~1 in 4 risk from 45),,,,
bowel cancer risk genetic,condition,cancer,Colorectal Cancer Risk Test,Male Multi Cancer Risk Test,Colorectal polygenic risk score (inherited),"PRS = inherited risk, no symptoms",,,
hereditary bowel cancer test,condition,cancer,Colorectal Cancer Risk Test,Male Multi Cancer Risk Test,Colorectal PRS,Signpost Lynch syndrome genetics if strong FHx,,,
blood in poo,symptom,cancer,QFIT Bowel Cancer Test,,Faecal immunochemical test detects occult blood,"FIREWALL: symptom = FIT, never PRS",18100,30,informational
blood in stool,symptom,cancer,QFIT Bowel Cancer Test,,FIT detects hidden blood,,,29,informational
bowel cancer test at home,navigational,cancer,QFIT Bowel Cancer Test,Colorectal Cancer Risk Test,FIT for symptoms; PRS for inherited risk,"Split intent: symptom=FIT, risk=PRS",,45,informational
change in bowel habit,symptom,cancer,QFIT Bowel Cancer Test,,FIT (occult blood) for current symptoms,Symptom-side test; signpost GP for red flags,2400,9,informational
FIT test at home,navigational,cancer,QFIT Bowel Cancer Test,,Faecal immunochemical test,,50,23,informational
melanoma risk test,condition,cancer,Melanoma Cancer Risk Test,Male Multi Cancer Risk Test,Melanoma polygenic risk score (inherited),PRS = inherited risk; does NOT detect a mole,,,
skin cancer risk genetic,condition,cancer,Melanoma Cancer Risk Test,Male Multi Cancer Risk Test,Melanoma PRS,,,,
changing mole should I worry,symptom,cancer,Melanoma Cancer Risk Test,,PRS profiles risk but does NOT assess the lesion,"FIREWALL: existing mole = GP/derm, not PRS",,,
fair skin sunbeds skin cancer,situation,cancer,Melanoma Cancer Risk Test,Male Multi Cancer Risk Test,Melanoma PRS (risk factors context),,,,
cancer risk test for men,navigational,cancer,Male Multi Cancer Risk Test,Prostate Cancer Risk Test; Colorectal Cancer Risk Test; Melanoma Cancer Risk Test,Combined prostate + bowel + melanoma PRS,One-test upsell for no-symptom risk cluster,,,
genetic cancer test at home,navigational,cancer,Male Multi Cancer Risk Test,Prostate Cancer Risk Test,Multi-cancer PRS,,,,
cancer runs in my family,situation,cancer,Male Multi Cancer Risk Test,Prostate Cancer Risk Test; Colorectal Cancer Risk Test,Multi-cancer PRS,,,,
am I drinking too much,situation,substance-skin,Chronic Alcohol Use Test,Liver Function Test,PEth (chronic alcohol biomarker) + LFTs,,140,62,informational
PEth test,biomarker,substance-skin,Chronic Alcohol Use Test,,Phosphatidylethanol - 2-4 week alcohol window,,480,,informational
alcohol blood test,condition,substance-skin,Chronic Alcohol Use Test,Liver Function Test,PEth + GGT/AST/LFTs,,590,14,informational
proof of abstinence alcohol,situation,substance-skin,Chronic Alcohol Use Test,,PEth for sustained abstinence monitoring,COMPLIANCE: safeguarding/legal use - preflight,,,
drug test at home,condition,substance-skin,Drugs & Alcohol Test,,"Urine panel: cannabis, cocaine, opiates, amphetamines, benzos, MDMA, methadone + alcohol",,480,,informational
drug and alcohol test,condition,substance-skin,Drugs & Alcohol Test,Chronic Alcohol Use Test,Multi-drug urine screen + alcohol,,1000,5,informational
safeguarding drug test,situation,substance-skin,Drugs & Alcohol Test,,Urine drugs of abuse panel,COMPLIANCE: safeguarding/legal use - preflight,,,
roaccutane blood test,situation,substance-skin,Acne Health Skin Care Test,Liver Function Test; Cholesterol Test,Lipids + LFTs + FBC for isotretinoin monitoring,,20,20,informational
accutane blood test,situation,substance-skin,Acne Health Skin Care Test,Liver Function Test,"Lipids, LFTs, FBC",,,,informational
isotretinoin monitoring,situation,substance-skin,Acne Health Skin Care Test,Liver Function Test; Cholesterol Test,"Triglycerides, cholesterol, LFTs, FBC",,40,47,informational
acne medication blood test,situation,substance-skin,Acne Health Skin Care Test,Liver Function Test,"Lipids, LFTs, FBC",,,,
brain fog,symptom,male-hormones,Male Ultimate Hormones Check Test,Thyroid Function Test; Vitamins & Minerals Complete Test; Testosterone Test,"Multi-cause: thyroid, testosterone, vit D, ferritin, B12",HEAD term missing from original map; add to Kit 2/Pillar K grid,14800,36,informational
PSA test,condition,cancer,,Prostate Cancer Risk Test,PSA is not in the range; the genetic PRS is NOT PSA,"GAP: 33,100/mo, no PSA product. Clinically contested (over-diagnosis) - Ewa gate before any build",33100,,navigational
erectile dysfunction,condition,male-hormones,Testosterone & Estrogen Test,Diabetes (HbA1c) Test; Cholesterol Test,Hormonal (T/E2/prolactin) + vascular (glucose/lipids),"ACQUISITION TRAP: 90,500/mo but treatment intent; AP cannot treat ED (low-T routes to GP). Use ED-blood-test variant only",90500,,informational
low sex drive men,symptom,male-hormones,Testosterone & Estrogen Test,Testosterone Test; Male Ultimate Hormones Check Test,"Testosterone, prolactin, thyroid",Google Ads UK 2026-07-20; HIGH paid competition (CPC £4.64),1600,,informational
biological age test,navigational,total-health,,Male Total Health Check Test,Longevity framing (composite of metabolic/inflammatory markers),NEW category; the premium 'longevity' packaging Function/Thriva use. No AP product yet,1900,27,informational
at home blood test,navigational,total-health,Male Total Health Check Test,,Category head,Google Ads UK 2026-07-20; CPC £5.56,1600,,commercial
